Entity,Code,Year,"Number of people not in poverty (above $10 a day, 2021 prices)","Number of people in poverty (between $8.30 and $10 a day, 2021 prices)","Number of people in poverty (between $4.20 and $8.30 a day, 2021 prices)","Number of people in poverty (between $3 and $4.20 a day, 2021 prices)","Number of people in poverty ($3 a day, 2021 prices)"
Argentina (urban),,2023,32573345,2608444,5614404,822612,487367
Argentina (urban),,2024,33410643,2472042,5254776,759902,407685
Armenia,ARM,1999,315982,179074,1251957,749786,670487
Armenia,ARM,2001,313959,153102,1224224,745147,775368
Armenia,ARM,2002,325924,165300,1309206,766890,632480
Armenia,ARM,2003,295877,184675,1438844,790660,472444
Armenia,ARM,2004,502134,252677,1490860,591726,327503
Armenia,ARM,2005,616696,304044,1614504,418771,192385
Armenia,ARM,2006,663540,374739,1604013,343663,141145
Armenia,ARM,2007,859429,392997,1427892,312410,114672
Armenia,ARM,2008,944352,406036,1449416,225384,61912
Armenia,ARM,2009,698025,375738,1566605,330151,95481
Armenia,ARM,2010,673217,362817,1579216,339896,89654
Armenia,ARM,2011,755499,363868,1510529,303243,94761
Armenia,ARM,2012,790321,431008,1462914,264291,75566
Armenia,ARM,2013,885993,400783,1391648,254524,89052
Armenia,ARM,2014,905623,445618,1318615,240342,103602
Armenia,ARM,2015,1048772,433540,1237978,198607,85703
Armenia,ARM,2016,1242505,377242,1086163,211104,75286
Armenia,ARM,2017,979813,428303,1330455,170441,70388
Armenia,ARM,2018,966239,436441,1286358,193961,86001
Armenia,ARM,2019,837815,432859,1400670,219232,71924
Armenia,ARM,2020,759999,479258,1523106,154223,44914
Armenia,ARM,2021,812384,461812,1428278,197082,62744
Armenia,ARM,2022,840652,474492,1355669,242065,56322
Armenia,ARM,2023,823675,452848,1438231,192394,57152
Australia,AUS,1981,14550997,73881,112403,37716,148263
Australia,AUS,1985,15313210,154368,109644,53000,158090
Australia,AUS,1989,16310671,125843,210577,42180,125145
Australia,AUS,1995,17510169,136126,138639,41208,178740
Australia,AUS,2001,18841566,101464,140452,0,191218
Australia,AUS,2003,19278464,50515,146969,48107,196681
Australia,AUS,2004,19634625,49364,106705,0,142028
Australia,AUS,2008,21035319,0,71628,0,142253
Australia,AUS,2010,21735064,74581,72807,72370,76928
Australia,AUS,2014,23182658,58979,59292,57735,117022
Australia,AUS,2016,23888661,62974,118623,0,120650
Australia,AUS,2018,24651352,0,127619,60196,124091
Australia,AUS,2020,25265140,0,130384,0,253724
Austria,AUT,1994,7838627,18169,60996,0,18326
Austria,AUT,1995,7869221,0,60365,18692,0
Austria,AUT,1996,7900406,19395,20379,18837,0
Austria,AUT,1997,7890691,19356,38394,0,19600
Austria,AUT,1998,7882707,14595,40289,20098,19100
Austria,AUT,1999,7934216,18362,21683,0,18063
Austria,AUT,2000,7932898,26973,32096,0,19599
Austria,AUT,2003,8058907,8329,21553,2323,30311
Austria,AUT,2004,8120825,16514,27352,602,6673
Austria,AUT,2005,8169094,17183,25457,3450,12645
Austria,AUT,2006,8219706,9563,20320,7035,12017
Austria,AUT,2007,8222588,7532,15697,18029,31641
Austria,AUT,2008,8227071,11810,34183,6067,42365
Austria,AUT,2009,8240470,17607,24126,3678,57442
Austria,AUT,2010,8278392,16063,20842,4649,43458
Austria,AUT,2011,8277029,27963,38397,8241,40013
Austria,AUT,2012,8308894,30925,32573,990,56609
Austria,AUT,2013,8409900,11897,26090,3274,28662
Austria,AUT,2014,8474747,8452,37187,6804,19166
Austria,AUT,2015,8505352,37082,37048,4048,59169
Austria,AUT,2016,8598532,22214,37921,19984,58017
Austria,AUT,2017,8725516,11419,25591,4272,30768
Austria,AUT,2018,8733939,4762,41055,10519,50246
Austria,AUT,2019,8791797,12406,12443,5852,57422
Austria,AUT,2020,8804314,17120,16290,13279,65861
Austria,AUT,2021,8833430,20530,55448,2880,43509
Austria,AUT,2022,8933690,9327,34867,5740,58227
Austria,AUT,2023,9030234,8951,39276,5064,48236
Azerbaijan,AZE,1995,944856,580382,3254866,1394295,1510451
Azerbaijan,AZE,2001,1496593,687612,3663323,1339156,924516
Azerbaijan,AZE,2002,2344129,1437969,4186628,183415,19809
Azerbaijan,AZE,2003,2781055,1432887,3767992,231684,20482
Azerbaijan,AZE,2004,2785274,1560648,3885895,70793,3890
Azerbaijan,AZE,2005,3600497,1775926,2991146,24281,0
Bangladesh,BGD,1983,1282514,1135723,19485951,29140562,45530314
Bangladesh,BGD,1985,2295691,1607899,24594257,30940630,42006219
Bangladesh,BGD,1988,2197914,1440722,20727968,28596690,55361610
Bangladesh,BGD,1991,1900251,1333503,22248815,30564806,58822273
Bangladesh,BGD,1995,5111407,3061588,29420259,32450094,53687924
Bangladesh,BGD,2000,6335402,4000382,34787711,33755137,55665672
Bangladesh,BGD,2005,8927531,5510135,44860059,38651238,46766829
Bangladesh,BGD,2010,11048659,6325495,55485278,41111561,38230991
Bangladesh,BGD,2016,14389881,8555550,65903851,40586370,31376284
Bangladesh,BGD,2022,31106832,17174481,86451317,24643178,10009088
Barbados,BRB,2016,212893,22599,35276,4140,4690
Belarus,BLR,1998,365076,300495,3138641,2415522,3852229
Belarus,BLR,1999,409787,369802,3573778,2289811,3383560
Belarus,BLR,2000,561065,497481,3984983,2290960,2645121
Belarus,BLR,2001,1121670,812712,4713738,1818551,1461878
Belarus,BLR,2002,1447157,913522,4871876,1603264,1029729
Belarus,BLR,2003,1623667,991065,4971057,1360586,850374
Belarus,BLR,2004,2135216,1322632,4945160,912345,414793
Belarus,BLR,2005,3591825,1507845,3773241,555202,235802
Belarus,BLR,2006,4683219,1395492,3053460,370834,101919
Belarus,BLR,2007,5539630,1325234,2378172,216332,101585
Belarus,BLR,2008,5952692,1289296,2054856,181793,49348
Belarus,BLR,2009,6122924,1264052,1905053,161214,51340
Belarus,BLR,2010,6758009,1015079,1585964,108459,16325
Belarus,BLR,2011,7107117,976921,1293050,79381,5174
Belarus,BLR,2012,7835933,744094,841998,17140,7671
Belarus,BLR,2013,8374793,516470,537859,11967,2122
Belarus,BLR,2014,8394696,546829,501943,5047,0
Belarus,BLR,2015,8151780,663726,617425,28145,0
Belarus,BLR,2016,8044195,727284,671346,26554,0
Belarus,BLR,2017,8154817,721053,568627,11889,2603
Belarus,BLR,2018,8523475,505007,396316,11909,2078
Belarus,BLR,2019,8692262,363916,361862,1718,0
Belarus,BLR,2020,8774007,358035,241731,6179,0
Belgium,BEL,1985,9759827,24755,24755,25293,23678
Belgium,BEL,1988,9807005,0,21853,0,72806
Belgium,BEL,1992,9925248,0,21138,0,98772
Belgium,BEL,1995,9992143,27580,43170,0,73918
Belgium,BEL,1997,10054187,27106,49811,0,50141
Belgium,BEL,2000,10150999,0,32466,36467,31318
Belgium,BEL,2003,10262523,19515,47299,5989,40807
Belgium,BEL,2004,10374771,2492,30536,7917,5421
Belgium,BEL,2005,10401963,18997,23295,7892,26470
Belgium,BEL,2006,10490684,10498,24583,1929,20264
Belgium,BEL,2007,10568825,12429,23556,2775,18115
Belgium,BEL,2008,10657409,16981,20510,2391,12682
Belgium,BEL,2009,10731609,27683,20050,4405,12746
Belgium,BEL,2010,10814682,27576,31650,6195,15483
Belgium,BEL,2011,10946754,22510,37006,11673,20321
Belgium,BEL,2012,11041210,12856,27175,6579,19112
Belgium,BEL,2013,11080985,18904,34767,8625,16126
Belgium,BEL,2014,11170334,8208,16340,5601,8574
Belgium,BEL,2015,11237951,10112,4130,6536,15467
Belgium,BEL,2016,11278728,17139,25740,3037,6778
Belgium,BEL,2017,11315455,19189,14792,5820,19902
Belgium,BEL,2018,11390574,12882,13342,0,10256
Belgium,BEL,2019,11457132,4960,12047,2565,12276
Belgium,BEL,2020,11502716,3038,19350,3600,9900
Belgium,BEL,2021,11554312,2574,14465,10607,4237
Belgium,BEL,2022,11654891,4576,12407,5947,2389
Belgium,BEL,2023,11752905,4349,19926,0,10243
Belize,BLZ,1995,91753,14361,43881,16677,37474
Belize,BLZ,2018,274746,31413,59888,11347,3953
Benin,BEN,2003,174883,99418,979555,1083884,5575330
Benin,BEN,2011,393658,204204,1409292,1213028,6973772
Benin,BEN,2015,578406,194111,1113756,1996706,7477702
Benin,BEN,2018,968649,527748,3717366,2673755,4667533
Benin,BEN,2021,1139928,699701,4997049,3114050,3722252
Bhutan,BTN,2003,109826,42502,219945,118144,147246
Bhutan,BTN,2007,170782,66056,260206,99959,81638
Bhutan,BTN,2012,289171,79993,261558,60399,26158
Bhutan,BTN,2017,354176,79261,248634,52544,19720
Bhutan,BTN,2022,641057,61309,74618,3826,104
Bolivia,BOL,1997,3510961,588698,1921341,627270,1519630
Bolivia,BOL,1999,3470169,547212,1694321,668960,2079144
Bolivia,BOL,2000,2947037,600283,1947058,680318,2431630
Bolivia,BOL,2001,3294413,714099,2106182,684061,1953981
Bolivia,BOL,2002,3230789,646324,2177717,719404,2126121
Bolivia,BOL,2004,3884884,785860,2518029,796382,1219132
Bolivia,BOL,2005,4107857,623541,2186418,694320,1748618
Bolivia,BOL,2006,4558507,712228,2112296,623852,1514806
Bolivia,BOL,2007,4782527,763495,2287356,683603,1168979
Bolivia,BOL,2008,5527404,717007,2092143,473343,1040961
Bolivia,BOL,2009,6126768,694407,1740879,448930,1005291
Bolivia,BOL,2011,6995978,736792,1524257,374238,717664
Bolivia,BOL,2012,7146397,643517,1558218,339375,828300
Bolivia,BOL,2013,7522955,636021,1508656,293064,721912
Bolivia,BOL,2014,7676672,722890,1456259,385728,607339
Bolivia,BOL,2015,7740120,743575,1562164,284850,683996
Bolivia,BOL,2016,7787209,743311,1507737,339874,801889
Bolivia,BOL,2017,8000861,724942,1562039,329298,727447
Bolivia,BOL,2018,8296378,755585,1541936,374052,540417
Bolivia,BOL,2019,8868439,723425,1408366,304839,366317
Bolivia,BOL,2020,8732126,785886,1523536,272922,501829
Bolivia,BOL,2021,9073738,827565,1375506,295903,364648
Bolivia,BOL,2022,9051070,792409,1541632,297468,394575
Bolivia,BOL,2023,9329238,890760,1398695,280488,344978
Bolivia (urban),,1990,1803259,389383,1212477,400657,235141
Bolivia (urban),,1992,1316960,331982,1460326,576060,590162
Bosnia and Herzegovina,BIH,2001,2814230,520648,777594,40048,26918
Bosnia and Herzegovina,BIH,2004,3479969,258152,365358,21131,16377
Bosnia and Herzegovina,BIH,2007,3509503,232363,247074,17574,6910
Bosnia and Herzegovina,BIH,2011,3224545,213404,266974,28077,8798
Botswana,BWA,1985,127946,43186,243799,155574,573502
Botswana,BWA,1993,218576,66920,346167,197894,603728
Botswana,BWA,2002,440160,77365,377499,253099,613056
Botswana,BWA,2009,620293,126003,575836,257462,421688
Botswana,BWA,2015,682822,138426,611013,321333,476456
Brazil,BRA,1981,31784905,6817874,32056066,15323294,38080973
Brazil,BRA,1982,33116644,7048467,31919257,15534941,39303843
Brazil,BRA,1983,27669988,6203348,29602727,17343787,48970230
Brazil,BRA,1984,27753637,6726320,31378015,17792154,49008738
Brazil,BRA,1985,33228269,7403893,33035082,17914654,43933702
Brazil,BRA,1986,56960357,9929903,35108002,13264071,23074035
Brazil,BRA,1987,45721047,8902146,34660822,15832226,35988703
Brazil,BRA,1988,44026311,9127699,33865565,16331989,40474788
Brazil,BRA,1989,49563903,8600767,34487136,16271663,37579507
Brazil,BRA,1990,42660678,8352401,35744356,17139417,45246364
Brazil,BRA,1992,39807330,9767839,41547079,17789438,45363386
Brazil,BRA,1993,43539593,9705354,40944366,18389509,44215754
Brazil,BRA,1995,61346382,11768787,40502266,16556466,31561171
Brazil,BRA,1996,63355469,10706823,40601779,15630201,33908272
Brazil,BRA,1997,63849609,10962664,40821514,17062003,33965874
Brazil,BRA,1998,66117048,11204986,42771547,16698475,32367592
Brazil,BRA,1999,63876050,11962475,43584209,17856066,34362736
Brazil,BRA,2001,75350722,12287500,42029956,15697249,30935773
Brazil,BRA,2002,77312933,12274045,43320548,16689962,28906000
Brazil,BRA,2003,76115318,12593137,44454050,16521857,30938326
Brazil,BRA,2004,78536482,13664467,45434877,17034852,28004458
Brazil,BRA,2005,83518301,13433120,45820717,16678611,25237347
Brazil,BRA,2006,90619221,14456997,45033650,15322317,21220919
Brazil,BRA,2007,96718217,14116196,43393080,13979128,20345699
Brazil,BRA,2008,103312807,14293816,42510091,12887016,17363566
Brazil,BRA,2009,107690190,14583606,41314541,12271436,16220179
Brazil,BRA,2011,117612038,14886851,39032659,9851747,13901441
Brazil,BRA,2012,122765150,14366303,38642077,8513962,12588620
Brazil,BRA,2013,129056351,14245902,36049184,8450996,10675871
Brazil,BRA,2014,133061922,14335031,35163550,8049096,9475521
Brazil,BRA,2015,132381311,14291612,35947984,8257230,10797399
Brazil,BRA,2016,130010556,14217066,37100290,8724288,13165912
Brazil,BRA,2017,131234159,13672603,37020482,8571898,14204298
Brazil,BRA,2018,133546156,13649851,36184799,8536135,14190323
Brazil,BRA,2019,135678381,13726322,35494538,7992200,14564015
Brazil,BRA,2020,149816461,15490909,32122253,5450529,5780696
Brazil,BRA,2021,130173325,15494431,39823126,8417113,15642293
Brazil,BRA,2022,141590497,15477680,35323850,7705555,10208834
Brazil,BRA,2023,146607729,15140831,33625320,7710594,8056262
Bulgaria,BGR,1992,7679486,421030,439648,0,0
Bulgaria,BGR,2006,4074294,980346,1637572,299145,609665
Bulgaria,BGR,2007,5432063,717985,990673,216508,188109
Bulgaria,BGR,2008,5961700,523709,712541,149532,145079
Bulgaria,BGR,2009,6014370,462253,720289,116138,131393
Bulgaria,BGR,2010,5728466,492198,810530,167254,197151
Bulgaria,BGR,2011,5593269,506924,832675,162029,253431
Bulgaria,BGR,2012,5625759,453335,804443,202276,220075
Bulgaria,BGR,2013,5741792,331898,689519,162900,233896
Bulgaria,BGR,2014,5806277,334513,627535,112788,192459
Bulgaria,BGR,2015,5535110,359615,642270,127299,319931
Bulgaria,BGR,2016,5756076,340559,443925,142124,211455
Bulgaria,BGR,2017,5705011,302811,543145,116216,136285
Bulgaria,BGR,2018,5877807,220592,440858,71237,100304
Bulgaria,BGR,2019,5862435,209661,347571,89135,107924
Bulgaria,BGR,2020,6001537,171460,277849,53639,46211
Bulgaria,BGR,2021,5963976,120127,291197,52085,79916
Bulgaria,BGR,2022,5978979,128311,247564,42168,68075
Bulgaria,BGR,2023,6064100,100501,179545,37275,65175
Burkina Faso,BFA,1994,124511,62642,521384,550037,8930955
Burkina Faso,BFA,1998,246928,74779,622628,579460,9716869
Burkina Faso,BFA,2003,417537,217095,1840960,1497184,9109756
Burkina Faso,BFA,2009,428167,212567,2140652,2375700,10552980
Burkina Faso,BFA,2014,622343,375292,3120829,3403474,10707522
Burkina Faso,BFA,2018,1671092,506670,4830527,3821794,9870037
Burkina Faso,BFA,2021,1434152,715450,5768823,5024708,9396353
Burundi,BDI,1992,26949,28237,324790,500132,4978299
Burundi,BDI,1998,71446,44609,229228,429376,5487473
Burundi,BDI,2006,71344,44004,592436,747101,6410662
Burundi,BDI,2013,177581,126603,1046368,1216796,8052215
Burundi,BDI,2020,213879,111130,1299406,1644370,9400518
Cameroon,CMR,1996,859885,505355,2433070,2039888,7576559
Cameroon,CMR,2001,1856696,857285,4968350,2909244,4717915
Cameroon,CMR,2007,2203858,935619,5277916,3131762,6500741
Cameroon,CMR,2014,4523587,1498418,6693055,2941743,6403089
Cameroon,CMR,2021,5301796,1825907,8965150,3990776,7312527
Canada,CAN,1971,20150862,384246,768638,109914,548372
Canada,CAN,1973,21255155,337190,449891,56261,393279
Canada,CAN,1975,22160214,231049,290604,56740,404669
Canada,CAN,1977,22836690,177457,296712,59288,355697
Canada,CAN,1979,23354590,242584,241984,59938,302448
Canada,CAN,1981,24199525,124497,247716,0,248178
Canada,CAN,1982,24490028,127449,249769,63050,186646
Canada,CAN,1984,24839109,191943,256040,63914,256046
Canada,CAN,1985,25196893,193225,194584,64719,192695
Canada,CAN,1986,25513337,131945,128925,65541,260530
Canada,CAN,1987,25986263,66127,198529,63532,132149
Canada,CAN,1988,26322897,134754,133327,0,200770
Canada,CAN,1989,26732335,67570,136093,0,340782
Canada,CAN,1990,27068428,138131,138867,0,345712
Canada,CAN,1991,27407916,69129,210563,0,349812
Canada,CAN,1992,27804476,141336,142588,70962,211902
Canada,CAN,1993,28039470,143538,143876,0,357880
Canada,CAN,1994,28421146,144737,147796,0,286985
Canada,CAN,1995,28716732,146614,148746,71388,218832
Canada,CAN,1996,29092628,149216,224480,0,143894
Canada,CAN,1997,29383746,154379,220001,0,147822
Canada,CAN,1998,29704352,74915,152502,72731,150672
Canada,CAN,1999,29870574,150950,153553,76950,149259
Canada,CAN,2000,30226964,152001,154917,75802,76046
Canada,CAN,2001,30633616,77500,157255,75125,77360
Canada,CAN,2002,30968811,76813,157100,80491,75985
Canada,CAN,2003,31247918,157429,79668,82418,75027
Canada,CAN,2004,31540488,159098,79546,81886,77790
Canada,CAN,2005,31760286,161285,160125,82045,78991
Canada,CAN,2006,32245953,81898,84849,77342,81150
Canada,CAN,2007,32560445,83226,163568,0,81647
Canada,CAN,2008,32831795,83423,166955,83515,81610
Canada,CAN,2009,33209975,87286,250645,0,82162
Canada,CAN,2010,33672241,88259,160787,0,84617
Canada,CAN,2011,33996841,88994,83697,92031,77657
Canada,CAN,2012,34280542,86234,173871,87173,85576
Canada,CAN,2013,34559846,177155,169819,0,174172
Canada,CAN,2014,34993512,86748,178413,89585,85806
Canada,CAN,2015,35259503,90247,177681,0,177065
Canada,CAN,2016,35659475,98938,171905,0,180486
Canada,CAN,2017,36179638,93178,90491,0,181769
Canada,CAN,2018,36701975,94096,91652,92226,92671
Canada,CAN,2019,37243689,105697,81217,94359,93534
Canada,CAN,2020,37841567,0,92439,0,94634
Canada,CAN,2021,38049143,0,95159,0,95562
Cape Verde,CPV,2001,70894,22798,125648,73439,172714
Cape Verde,CPV,2007,97188,31119,165777,73571,130239
Cape Verde,CPV,2015,137265,42091,180922,77286,74830
Central African Republic,CAF,1992,74185,29215,198521,171043,2628440
Central African Republic,CAF,2008,246407,98793,608269,539005,3066510
Central African Republic,CAF,2021,140826,59971,621361,628792,3661150
Chad,TCD,2003,239215,123611,1363318,1433286,6328403
Chad,TCD,2011,962023,506185,3157995,2363835,5764959
Chad,TCD,2018,1055313,573459,4407275,3510812,6874018
Chad,TCD,2022,1310711,629416,5180858,4049026,7285305
Chile,CHL,1987,3749746,804532,3754102,1702772,2778998
Chile,CHL,1990,4613346,965487,4023728,1680604,2154011
Chile,CHL,1992,5375378,1109056,4369900,1493326,1536917
Chile,CHL,1994,6024629,1159309,4211462,1419781,1501075
Chile,CHL,1996,6919977,1237990,4164784,1239126,1172169
Chile,CHL,1998,7515281,1320763,4015885,1156932,1118938
Chile,CHL,2000,7231553,1378777,4393131,1166116,1334058
Chile,CHL,2003,7614549,1482754,4445687,1209262,1272500
Chile,CHL,2006,9659875,1571082,3999475,727958,550805
Chile,CHL,2009,10622495,1696983,3729062,510723,450469
Chile,CHL,2011,11669058,1611870,3367435,416086,287367
Chile,CHL,2013,13705179,1439357,2191896,212542,138032
Chile,CHL,2015,14728099,1207863,1827434,162452,121776
Chile,CHL,2017,15814588,1077365,1472729,104590,89596
Chile,CHL,2020,16042825,1139565,1659271,195394,333569
Chile,CHL,2022,17668768,775349,936371,70904,101644
China,CHN,1981,0,0,3339190,26399727,964146075
China,CHN,1984,0,0,22655481,66848923,947320620
China,CHN,1987,0,1962313,62858808,136819188,882394635
China,CHN,1990,3878132,4644273,67167824,116928371,942566424
China,CHN,1993,9184015,8243003,111629775,144840744,904542399
China,CHN,1996,25759591,17934265,206151188,212796863,754908045
China,CHN,1999,42430484,26961120,248485673,202865710,731991989
China,CHN,2002,87883595,49249624,323663506,203147799,616455476
China,CHN,2005,160284463,77576981,404247987,230099643,431510862
China,CHN,2008,257368692,100352633,416154817,203158455,347620379
China,CHN,2010,343760074,109735285,417010697,191810404,275388500
China,CHN,2011,384789302,117133588,443304467,188679999,211127652
China,CHN,2012,446406518,122070133,437939650,168452438,179321213
China,CHN,2013,522810289,136255771,471989709,147313752,84870415
China,CHN,2014,589115629,141684196,449005798,126966194,65088151
China,CHN,2015,648406167,146600976,434499486,109237375,41115964
China,CHN,2016,702287908,148216035,416890267,89888734,30507008
China,CHN,2017,742425438,146481311,399305859,84752598,23249834
China,CHN,2018,803640118,147156837,372095421,68711262,11156298
China,CHN,2019,853412218,147888730,361615433,44828643,0
China,CHN,2020,836782017,158703647,391377663,24236705,0
China,CHN,2021,971051880,145152483,291570402,4585171,0
China,CHN,2022,965193808,142997310,296388413,7595445,0
China (rural),,1981,0,0,0,8336331,785598901
China (rural),,1984,0,0,14252934,30457939,761907879
China (rural),,1987,0,1962353,32448221,60093332,726555038
China (rural),,1990,3406877,1828687,23238594,43537909,763007325
China (rural),,1993,1587424,1963352,25707679,50070254,756149883
China (rural),,1996,10511167,6233771,73835145,109687594,628689059
China (rural),,1999,11782592,6568570,74408194,104680655,618528949
China (rural),,2002,18330433,9594918,99835892,120350217,540294812
China (rural),,2005,28527855,16208480,165382003,160953392,378280462
China (rural),,2008,42185925,21535560,181922773,144339982,318189584
China (rural),,2010,53263350,26020388,198165260,138327170,263430168
China (rural),,2011,60726718,31258656,228216186,136876451,208566341
China (rural),,2012,75986022,36800910,235646102,125439285,179321217
China (rural),,2013,111134663,57655501,287688244,101885194,82181998
China (rural),,2014,134856536,65975628,279269973,85892534,61507793
China (rural),,2015,155990138,71381869,268997642,76552083,41115964
China (rural),,2016,173627547,74415236,254052960,67810689,30507008
China (rural),,2017,189532214,73940459,237505167,62741096,23249832
China (rural),,2018,218484665,76627226,214806025,51925209,11156299
China (rural),,2019,237161033,77338257,204400791,39862095,0
China (rural),,2020,226538719,79243108,218570321,19937324,0
China (rural),,2021,292238489,73691011,158950833,4585171,0
China (rural),,2022,286830988,68606017,151564126,7595445,0
China (urban),,1981,0,0,3339167,18063456,178547169
China (urban),,1984,0,0,8402523,36391015,185412718
China (urban),,1987,0,0,30410546,76725899,155839603
China (urban),,1990,471256,2815566,43929231,73390491,179559088
China (urban),,1993,7596588,6279627,85922123,94770524,148392546
China (urban),,1996,15248400,11700543,132316000,103109333,126218972
China (urban),,1999,30647867,20392601,174077484,98185017,113463079
China (urban),,2002,69553148,39654703,223827608,82797614,76160623
China (urban),,2005,131756599,61368523,238865990,69146300,53230396
China (urban),,2008,215182759,78817122,234232048,58818473,29430814
China (urban),,2010,290496703,83714939,218845445,53483265,11958336
China (urban),,2011,324062538,85874996,215088280,51803539,2561303
China (urban),,2012,370420561,85269209,202293565,43013145,0
China (urban),,2013,411675646,78600242,184301521,45428568,2688423
China (urban),,2014,454259049,75708596,169735852,41073648,3580359
China (urban),,2015,492416057,75219080,165501841,32685294,0
China (urban),,2016,528660344,73800791,162837340,22078037,0
China (urban),,2017,552893193,72540836,161800682,22011497,0
China (urban),,2018,585155456,70529644,157289419,16786057,0
China (urban),,2019,616251191,70550467,157214640,4966550,0
China (urban),,2020,610243266,79460511,172807339,4299380,0
China (urban),,2021,678813408,71461485,132619571,0,0
China (urban),,2022,678362850,74391305,144824277,0,0
Colombia,COL,1992,10623183,2776082,10996033,3953443,5411831
Colombia,COL,1996,9562509,2583521,10787154,4490373,9039187
Colombia,COL,1999,9443118,2391238,10829519,4951684,10839305
Colombia,COL,2000,10958748,2561163,11345129,4875324,9349572
Colombia,COL,2001,8810988,2525995,11322013,5314184,11736084
Colombia,COL,2002,12416618,2722548,11468658,5153998,8562858
Colombia,COL,2003,12001986,3013800,12735864,5095293,8090485
Colombia,COL,2004,12629586,2971904,12614773,5347043,7979866
Colombia,COL,2005,14028590,3197831,12908224,4916515,7077816
Colombia,COL,2008,16981517,3297215,11759221,4472405,7248450
Colombia,COL,2009,17575269,3447861,12231970,4366814,6649626
Colombia,COL,2010,18816796,3552965,12345696,4191264,5870599
Colombia,COL,2011,20233383,3643687,12309906,3986476,5086164
Colombia,COL,2012,21269825,3669683,12153767,3645902,4976631
Colombia,COL,2013,22498925,3815419,11871764,3378282,4587194
Colombia,COL,2014,23655625,3894556,11512119,3316427,4186701
Colombia,COL,2015,24129598,4034858,11831237,3179812,3794435
Colombia,COL,2016,24379225,4059552,12081112,3131812,3785811
Colombia,COL,2017,24904858,4173359,12336163,3200109,3516591
Colombia,COL,2018,25339098,4256216,12527181,3284831,3617138
Colombia,COL,2019,25551098,4232880,12345498,3392061,4386447
Colombia,COL,2020,22074895,4231356,13483641,4012154,6827950
